id,name,third_party_id
1,Method 1,2
2,Method 2,3
3,Method 3,4
4,Method 4,5
5,Method 5,6
6,Method 6,7
7,Method 7,8
8,Method 8,9
9,Method 9,10
10,Method 10,1
11,Method 11,2
12,Method 12,3
13,Method 13,4
14,Method 14,5
15,Method 15,6
16,Method 16,7
17,Method 17,8
18,Method 18,9
19,Method 19,10
20,Method 20,1
21,Method 21,2
22,Method 22,3
23,Method 23,4
24,Method 24,5
25,Method 25,6
26,Method 26,7
27,Method 27,8
28,Method 28,9
29,Method 29,10
30,Method 30,1
31,Method 31,2
32,Method 32,3
33,Method 33,4
34,Method 34,5
35,Method 35,6
36,Method 36,7
37,Method 37,8
38,Method 38,9
39,Method 39,10
40,Method 40,1
41,Method 41,2
42,Method 42,3
43,Method 43,4
44,Method 44,5
45,Method 45,6
46,Method 46,7
47,Method 47,8
48,Method 48,9
49,Method 49,10
50,Method 50,1
