id,name,type
1,Hotel 1,Chain
2,Hotel 2,Fed
3,Hotel 3,Chain
4,Hotel 4,Fed
5,Hotel 5,Chain
6,Hotel 6,Fed
7,Hotel 7,Chain
8,Hotel 8,Fed
9,Hotel 9,Chain
10,Hotel 10,Fed
11,Hotel 11,Chain
12,Hotel 12,Fed
13,Hotel 13,Chain
14,Hotel 14,Fed
15,Hotel 15,Chain
16,Hotel 16,Fed
17,Hotel 17,Chain
18,Hotel 18,Fed
19,Hotel 19,Chain
20,Hotel 20,Fed
21,Hotel 21,Chain
22,Hotel 22,Fed
23,Hotel 23,Chain
24,Hotel 24,Fed
25,Hotel 25,Chain
26,Hotel 26,Fed
27,Hotel 27,Chain
28,Hotel 28,Fed
29,Hotel 29,Chain
30,Hotel 30,Fed
31,Hotel 31,Chain
32,Hotel 32,Fed
33,Hotel 33,Chain
34,Hotel 34,Fed
35,Hotel 35,Chain
36,Hotel 36,Fed
37,Hotel 37,Chain
38,Hotel 38,Fed
39,Hotel 39,Chain
40,Hotel 40,Fed
41,Hotel 41,Chain
42,Hotel 42,Fed
43,Hotel 43,Chain
44,Hotel 44,Fed
45,Hotel 45,Chain
46,Hotel 46,Fed
47,Hotel 47,Chain
48,Hotel 48,Fed
49,Hotel 49,Chain
50,Hotel 50,Fed
