id,name,type
1,Hotel 1,Cabin
2,Hotel 2,Pod
3,Hotel 3,Cabin
4,Hotel 4,Pod
5,Hotel 5,Cabin
6,Hotel 6,Pod
7,Hotel 7,Cabin
8,Hotel 8,Pod
9,Hotel 9,Cabin
10,Hotel 10,Pod
11,Hotel 11,Cabin
12,Hotel 12,Pod
13,Hotel 13,Cabin
14,Hotel 14,Pod
15,Hotel 15,Cabin
16,Hotel 16,Pod
17,Hotel 17,Cabin
18,Hotel 18,Pod
19,Hotel 19,Cabin
20,Hotel 20,Pod
21,Hotel 21,Cabin
22,Hotel 22,Pod
23,Hotel 23,Cabin
24,Hotel 24,Pod
25,Hotel 25,Cabin
26,Hotel 26,Pod
27,Hotel 27,Cabin
28,Hotel 28,Pod
29,Hotel 29,Cabin
30,Hotel 30,Pod
31,Hotel 31,Cabin
32,Hotel 32,Pod
33,Hotel 33,Cabin
34,Hotel 34,Pod
35,Hotel 35,Cabin
36,Hotel 36,Pod
37,Hotel 37,Cabin
38,Hotel 38,Pod
39,Hotel 39,Cabin
40,Hotel 40,Pod
41,Hotel 41,Cabin
42,Hotel 42,Pod
43,Hotel 43,Cabin
44,Hotel 44,Pod
45,Hotel 45,Cabin
46,Hotel 46,Pod
47,Hotel 47,Cabin
48,Hotel 48,Pod
49,Hotel 49,Cabin
50,Hotel 50,Pod
