id,name,type
1,hotel-1,chain
2,hotel-2,fed
3,hotel-3,chain
4,hotel-4,fed
5,hotel-5,chain
6,hotel-6,fed
7,hotel-7,chain
8,hotel-8,fed
9,hotel-9,chain
10,hotel-10,fed
11,hotel-11,chain
12,hotel-12,fed
13,hotel-13,chain
14,hotel-14,fed
15,hotel-15,chain
16,hotel-16,fed
17,hotel-17,chain
18,hotel-18,fed
19,hotel-19,chain
20,hotel-20,fed
21,hotel-21,chain
22,hotel-22,fed
23,hotel-23,chain
24,hotel-24,fed
25,hotel-25,chain
26,hotel-26,fed
27,hotel-27,chain
28,hotel-28,fed
29,hotel-29,chain
30,hotel-30,fed
31,hotel-31,chain
32,hotel-32,fed
33,hotel-33,chain
34,hotel-34,fed
35,hotel-35,chain
36,hotel-36,fed
37,hotel-37,chain
38,hotel-38,fed
39,hotel-39,chain
40,hotel-40,fed
41,hotel-41,chain
42,hotel-42,fed
43,hotel-43,chain
44,hotel-44,fed
45,hotel-45,chain
46,hotel-46,fed
47,hotel-47,chain
48,hotel-48,fed
49,hotel-49,chain
50,hotel-50,fed
