id,reservation_datetime,check_in_date,check_out_date,status,hotel_id,booker_id,voucher_code,total_room_price,total_discount
1,2021-11-30-08:05:55.499666,2024-08-26,2024-08-28,cancelled,2,2,voucher1,195.57,82.82
2,2021-12-01-08:05:55.499666,2024-08-27,2024-08-29,expired,3,3,voucher2,118.85,29.9
3,2021-12-02-08:05:55.499666,2024-08-28,2024-08-30,booked,4,4,voucher3,130.01,43.44
4,2021-12-03-08:05:55.499666,2024-08-29,2024-08-31,pending,5,5,voucher4,441.16,18.91
5,2021-12-04-08:05:55.499666,2024-08-30,2024-09-01,cancelled,6,6,voucher5,319.88,98.48
6,2021-12-05-08:05:55.499666,2024-08-31,2024-09-02,expired,7,7,voucher6,153.21,99.21
7,2021-12-06-08:05:55.499666,2024-09-01,2024-09-03,booked,8,8,voucher7,834.77,21.92
8,2021-12-07-08:05:55.499666,2024-09-02,2024-09-04,pending,9,9,voucher8,612.23,87.64
9,2021-12-08-08:05:55.499666,2024-09-03,2024-09-05,cancelled,10,10,voucher9,930.86,24.85
10,2021-12-09-08:05:55.499666,2024-09-04,2024-09-06,expired,11,11,voucher10,415.39,44.31
11,2021-12-10-08:05:55.499666,2024-09-05,2024-09-07,booked,12,12,voucher11,376.94,94.43
12,2021-12-11-08:05:55.499666,2024-09-06,2024-09-08,pending,13,13,voucher12,348.57,13.97
13,2021-12-12-08:05:55.499666,2024-09-07,2024-09-09,cancelled,14,14,voucher13,144.08,62.65
14,2021-12-13-08:05:55.499666,2024-09-08,2024-09-10,expired,15,15,voucher14,373.85,91.97
15,2021-12-14-08:05:55.499666,2024-09-09,2024-09-11,booked,16,16,voucher15,500.58,54.18
16,2021-12-15-08:05:55.499666,2024-09-10,2024-09-12,pending,17,17,voucher16,730.99,57.92
17,2021-12-16-08:05:55.499666,2024-09-11,2024-09-13,cancelled,18,18,voucher17,234.23,64.45
18,2021-12-17-08:05:55.499666,2024-09-12,2024-09-14,expired,19,19,voucher18,167.96,32.62
19,2021-12-18-08:05:55.499666,2024-09-13,2024-09-15,booked,20,20,voucher19,766.86,40.01
20,2021-12-19-08:05:55.499666,2024-09-14,2024-09-16,pending,21,21,voucher20,308.1,61.75
21,2021-12-20-08:05:55.499666,2024-09-15,2024-09-17,cancelled,22,22,voucher21,921.86,62.44
22,2021-12-21-08:05:55.499666,2024-09-16,2024-09-18,expired,23,23,voucher22,745.7,7.38
23,2021-12-22-08:05:55.499666,2024-09-17,2024-09-19,booked,24,24,voucher23,847.71,80.27
24,2021-12-23-08:05:55.499666,2024-09-18,2024-09-20,pending,25,25,voucher24,498.78,5.93
25,2021-12-24-08:05:55.499666,2024-09-19,2024-09-21,cancelled,26,26,voucher25,337.61,31.48
26,2021-12-25-08:05:55.499666,2024-09-20,2024-09-22,expired,27,27,voucher26,383.15,0.3
27,2021-12-26-08:05:55.499666,2024-09-21,2024-09-23,booked,28,28,voucher27,465.51,61.26
28,2021-12-27-08:05:55.499666,2024-09-22,2024-09-24,pending,29,29,voucher28,973.2,73.97
29,2021-12-28-08:05:55.499666,2024-09-23,2024-09-25,cancelled,30,30,voucher29,987.23,60.77
30,2021-12-29-08:05:55.499666,2024-08-25,2024-08-27,expired,31,31,voucher30,432.94,54.71
