id,name,room_type,floor,hotel_id
1,room-1,double,2,2
2,room-2,double,3,3
3,room-3,single,4,4
4,room-4,double,5,5
5,room-5,double,6,6
6,room-6,single,7,7
7,room-7,double,8,8
8,room-8,double,9,9
9,room-9,single,10,10
10,room-10,double,1,11
11,room-11,double,2,12
12,room-12,single,3,13
13,room-13,double,4,14
14,room-14,double,5,15
15,room-15,single,6,16
16,room-16,double,7,17
17,room-17,double,8,18
18,room-18,single,9,19
19,room-19,double,10,20
20,room-20,double,1,21
21,room-21,single,2,22
22,room-22,double,3,23
23,room-23,double,4,24
24,room-24,single,5,25
25,room-25,double,6,26
26,room-26,double,7,27
27,room-27,single,8,28
28,room-28,double,9,29
29,room-29,double,10,30
30,room-30,single,1,31
31,room-31,double,2,32
32,room-32,double,3,33
33,room-33,single,4,34
34,room-34,double,5,35
35,room-35,double,6,36
36,room-36,single,7,37
37,room-37,double,8,38
38,room-38,double,9,39
39,room-39,single,10,40
40,room-40,double,1,41
41,room-41,double,2,42
42,room-42,single,3,43
43,room-43,double,4,44
44,room-44,double,5,45
45,room-45,single,6,46
46,room-46,double,7,47
47,room-47,double,8,48
48,room-48,single,9,49
49,room-49,double,10,50
50,room-50,double,1,1
51,room-51,single,2,2
52,room-52,double,3,3
53,room-53,double,4,4
54,room-54,single,5,5
55,room-55,double,6,6
56,room-56,double,7,7
57,room-57,single,8,8
58,room-58,double,9,9
59,room-59,double,10,10
60,room-60,single,1,11
61,room-61,double,2,12
62,room-62,double,3,13
63,room-63,single,4,14
64,room-64,double,5,15
65,room-65,double,6,16
66,room-66,single,7,17
67,room-67,double,8,18
68,room-68,double,9,19
69,room-69,single,10,20
70,room-70,double,1,21
71,room-71,double,2,22
72,room-72,single,3,23
73,room-73,double,4,24
74,room-74,double,5,25
75,room-75,single,6,26
76,room-76,double,7,27
77,room-77,double,8,28
78,room-78,single,9,29
79,room-79,double,10,30
80,room-80,double,1,31
81,room-81,single,2,32
82,room-82,double,3,33
83,room-83,double,4,34
84,room-84,single,5,35
85,room-85,double,6,36
86,room-86,double,7,37
87,room-87,single,8,38
88,room-88,double,9,39
89,room-89,double,10,40
90,room-90,single,1,41
91,room-91,double,2,42
92,room-92,double,3,43
93,room-93,single,4,44
94,room-94,double,5,45
95,room-95,double,6,46
96,room-96,single,7,47
97,room-97,double,8,48
98,room-98,double,9,49
99,room-99,single,10,50
100,room-100,double,1,1
